Validation_Set,Topics,Alpha,Beta,Coherence
sentimen_bi_pos,4,asymmetric,0.01,0.3231702135734815
sentimen_bi_pos,4,asymmetric,0.31,0.32381900413601133
sentimen_bi_pos,4,asymmetric,0.61,0.32853921459722935
sentimen_bi_pos,4,asymmetric,0.9099999999999999,0.314730732020934
sentimen_bi_pos,4,asymmetric,symmetric,0.32608110447680916
sentimen_bi_pos,5,0.01,0.01,0.3808149340526231
sentimen_bi_pos,5,0.01,0.31,0.3880964720696106
sentimen_bi_pos,5,0.01,0.61,0.38473873360691
sentimen_bi_pos,5,0.01,0.9099999999999999,0.3792584026414958
sentimen_bi_pos,5,0.01,symmetric,0.36660931783902034
sentimen_bi_pos,5,0.31,0.01,0.3848805006850939
sentimen_bi_pos,5,0.31,0.31,0.37004699523487955
sentimen_bi_pos,5,0.31,0.61,0.38293129573399654
sentimen_bi_pos,5,0.31,0.9099999999999999,0.37511416085398624
sentimen_bi_pos,5,0.31,symmetric,0.3787840077815025
sentimen_bi_pos,5,0.61,0.01,0.39179126744259696
sentimen_bi_pos,5,0.61,0.31,0.39192546223914004
sentimen_bi_pos,5,0.61,0.61,0.39064039638338033
sentimen_bi_pos,5,0.61,0.9099999999999999,0.38869911714499167
sentimen_bi_pos,5,0.61,symmetric,0.39153260037794146
sentimen_bi_pos,5,0.9099999999999999,0.01,0.34641462036375914
sentimen_bi_pos,5,0.9099999999999999,0.31,0.3943043255361665
sentimen_bi_pos,5,0.9099999999999999,0.61,0.40118135213556155
sentimen_bi_pos,5,0.9099999999999999,0.9099999999999999,0.39561389929160173
sentimen_bi_pos,5,0.9099999999999999,symmetric,0.39157218792212445
sentimen_bi_pos,5,symmetric,0.01,0.3938904192943517
sentimen_bi_pos,5,symmetric,0.31,0.3833322422110374
sentimen_bi_pos,5,symmetric,0.61,0.38293129573399665
sentimen_bi_pos,5,symmetric,0.9099999999999999,0.3775062583617113
sentimen_bi_pos,5,symmetric,symmetric,0.38506667823962354
sentimen_bi_pos,5,asymmetric,0.01,0.32026870120116613
sentimen_bi_pos,5,asymmetric,0.31,0.3331910470784948
sentimen_bi_pos,5,asymmetric,0.61,0.3547805014278097
sentimen_bi_pos,5,asymmetric,0.9099999999999999,0.33242070619076886
sentimen_bi_pos,5,asymmetric,symmetric,0.33757315274396077
sentimen_bi_pos,6,0.01,0.01,0.3670279008050059
sentimen_bi_pos,6,0.01,0.31,0.3569511472048637
sentimen_bi_pos,6,0.01,0.61,0.3495792864712475
sentimen_bi_pos,6,0.01,0.9099999999999999,0.35431031558642206
sentimen_bi_pos,6,0.01,symmetric,0.3540275635533027
sentimen_bi_pos,6,0.31,0.01,0.37183065069692206
sentimen_bi_pos,6,0.31,0.31,0.42416937294557094
sentimen_bi_pos,6,0.31,0.61,0.42416937294557094
sentimen_bi_pos,6,0.31,0.9099999999999999,0.42416937294557094
sentimen_bi_pos,6,0.31,symmetric,0.4173571899471728
sentimen_bi_pos,6,0.61,0.01,0.37504568285200096
sentimen_bi_pos,6,0.61,0.31,0.40338853346228437
sentimen_bi_pos,6,0.61,0.61,0.41391694981984123
sentimen_bi_pos,6,0.61,0.9099999999999999,0.4100976080631238
sentimen_bi_pos,6,0.61,symmetric,0.3970496952571205
sentimen_bi_pos,6,0.9099999999999999,0.01,0.332121694242339
sentimen_bi_pos,6,0.9099999999999999,0.31,0.3992292778866517
sentimen_bi_pos,6,0.9099999999999999,0.61,0.39142998369689774
sentimen_bi_pos,6,0.9099999999999999,0.9099999999999999,0.40072589086757265
sentimen_bi_pos,6,0.9099999999999999,symmetric,0.34194222960057474
sentimen_bi_pos,6,symmetric,0.01,0.42949795994534545
sentimen_bi_pos,6,symmetric,0.31,0.42757933371135143
sentimen_bi_pos,6,symmetric,0.61,0.4315335980748752
sentimen_bi_pos,6,symmetric,0.9099999999999999,0.42757933371135143
sentimen_bi_pos,6,symmetric,symmetric,0.43223365256242463
sentimen_bi_pos,6,asymmetric,0.01,0.3398670936800954
sentimen_bi_pos,6,asymmetric,0.31,0.3499118835953614
sentimen_bi_pos,6,asymmetric,0.61,0.3372345804668419
sentimen_bi_pos,6,asymmetric,0.9099999999999999,0.3254600454794721
sentimen_bi_pos,6,asymmetric,symmetric,0.3407313570571364
sentimen_bi_pos,7,0.01,0.01,0.37434026374378576
sentimen_bi_pos,7,0.01,0.31,0.3734938210157627
sentimen_bi_pos,7,0.01,0.61,0.3797986303555541
sentimen_bi_pos,7,0.01,0.9099999999999999,0.37844922855026514
sentimen_bi_pos,7,0.01,symmetric,0.37139175583700734
sentimen_bi_pos,7,0.31,0.01,0.3787982475412563
