Validation_Set,Topics,Alpha,Beta,Coherence
sentimen_tri_net,4,asymmetric,0.9099999999999999,0.4466923288776782
sentimen_tri_net,4,asymmetric,symmetric,0.4594952702705386
sentimen_tri_net,5,0.01,0.01,0.47957544567321886
sentimen_tri_net,5,0.01,0.31,0.46628501679553747
sentimen_tri_net,5,0.01,0.61,0.4682929992737145
sentimen_tri_net,5,0.01,0.9099999999999999,0.46852702819770514
sentimen_tri_net,5,0.01,symmetric,0.4567918018210017
sentimen_tri_net,5,0.31,0.01,0.4744917063604549
sentimen_tri_net,5,0.31,0.31,0.48127275290026644
sentimen_tri_net,5,0.31,0.61,0.477172651068999
sentimen_tri_net,5,0.31,0.9099999999999999,0.4381137590909967
sentimen_tri_net,5,0.31,symmetric,0.4453402225871323
sentimen_tri_net,5,0.61,0.01,0.43243072687274503
sentimen_tri_net,5,0.61,0.31,0.4632635824953784
sentimen_tri_net,5,0.61,0.61,0.47417216031188597
sentimen_tri_net,5,0.61,0.9099999999999999,0.45776256518309777
sentimen_tri_net,5,0.61,symmetric,0.4664993456791784
sentimen_tri_net,5,0.9099999999999999,0.01,0.43555929646333186
sentimen_tri_net,5,0.9099999999999999,0.31,0.4755653921817274
sentimen_tri_net,5,0.9099999999999999,0.61,0.45179615236987286
sentimen_tri_net,5,0.9099999999999999,0.9099999999999999,0.47535402300968743
sentimen_tri_net,5,0.9099999999999999,symmetric,0.48105697263407093
sentimen_tri_net,5,symmetric,0.01,0.47528750551117493
sentimen_tri_net,5,symmetric,0.31,0.4698577879101135
sentimen_tri_net,5,symmetric,0.61,0.464609488185621
sentimen_tri_net,5,symmetric,0.9099999999999999,0.46588850537975957
sentimen_tri_net,5,symmetric,symmetric,0.4692262823798769
sentimen_tri_net,5,asymmetric,0.01,0.44426202784557695
sentimen_tri_net,5,asymmetric,0.31,0.45104651034813203
sentimen_tri_net,5,asymmetric,0.61,0.42134452838138553
sentimen_tri_net,5,asymmetric,0.9099999999999999,0.4407235995065636
sentimen_tri_net,5,asymmetric,symmetric,0.4470832390350675
sentimen_tri_net,6,0.01,0.01,0.4730012794550271
sentimen_tri_net,6,0.01,0.31,0.4486865144763756
sentimen_tri_net,6,0.01,0.61,0.4436451030232185
sentimen_tri_net,6,0.01,0.9099999999999999,0.4790243983627774
sentimen_tri_net,6,0.01,symmetric,0.4690073766015049
sentimen_tri_net,6,0.31,0.01,0.48092697964361647
sentimen_tri_net,6,0.31,0.31,0.45405859913416835
sentimen_tri_net,6,0.31,0.61,0.44351780143514397
sentimen_tri_net,6,0.31,0.9099999999999999,0.4231997233685174
sentimen_tri_net,6,0.31,symmetric,0.4488777881933186
sentimen_tri_net,6,0.61,0.01,0.4648257833418361
sentimen_tri_net,6,0.61,0.31,0.45702605515237904
sentimen_tri_net,6,0.61,0.61,0.4754243679746228
sentimen_tri_net,6,0.61,0.9099999999999999,0.4663000501944768
sentimen_tri_net,6,0.61,symmetric,0.44055812175846326
sentimen_tri_net,6,0.9099999999999999,0.01,0.445776879044872
sentimen_tri_net,6,0.9099999999999999,0.31,0.44252211582580264
sentimen_tri_net,6,0.9099999999999999,0.61,0.45480138927439234
sentimen_tri_net,6,0.9099999999999999,0.9099999999999999,0.43954918961220174
sentimen_tri_net,6,0.9099999999999999,symmetric,0.43944501698474064
sentimen_tri_net,6,symmetric,0.01,0.49023133467189056
sentimen_tri_net,6,symmetric,0.31,0.45528832701186245
sentimen_tri_net,6,symmetric,0.61,0.4409755224917155
sentimen_tri_net,6,symmetric,0.9099999999999999,0.44357221402299646
sentimen_tri_net,6,symmetric,symmetric,0.4520419841801085
sentimen_tri_net,6,asymmetric,0.01,0.41969294233431137
sentimen_tri_net,6,asymmetric,0.31,0.4233717673121143
sentimen_tri_net,6,asymmetric,0.61,0.4371773851494007
