Validation_Set,Topics,Alpha,Beta,Coherence
sentimen_tri_pos,4,asymmetric,0.01,0.4586933585132097
sentimen_tri_pos,4,asymmetric,0.31,0.46037919293252616
sentimen_tri_pos,4,asymmetric,0.61,0.46037919293252616
sentimen_tri_pos,4,asymmetric,0.9099999999999999,0.4608907347832667
sentimen_tri_pos,4,asymmetric,symmetric,0.46037919293252616
sentimen_tri_pos,5,0.01,0.01,0.4442049702560091
sentimen_tri_pos,5,0.01,0.31,0.44103658920789623
sentimen_tri_pos,5,0.01,0.61,0.4327121388387627
sentimen_tri_pos,5,0.01,0.9099999999999999,0.430118134514849
sentimen_tri_pos,5,0.01,symmetric,0.389921859908266
sentimen_tri_pos,5,0.31,0.01,0.459146133759714
sentimen_tri_pos,5,0.31,0.31,0.4329784067329118
sentimen_tri_pos,5,0.31,0.61,0.4172000512757319
sentimen_tri_pos,5,0.31,0.9099999999999999,0.428695422800347
sentimen_tri_pos,5,0.31,symmetric,0.44343769477207484
sentimen_tri_pos,5,0.61,0.01,0.45705274377326877
sentimen_tri_pos,5,0.61,0.31,0.44599530510272467
sentimen_tri_pos,5,0.61,0.61,0.44816167840102994
sentimen_tri_pos,5,0.61,0.9099999999999999,0.4546637577344286
sentimen_tri_pos,5,0.61,symmetric,0.44599530510272467
sentimen_tri_pos,5,0.9099999999999999,0.01,0.37548047315322525
sentimen_tri_pos,5,0.9099999999999999,0.31,0.36174159522187105
sentimen_tri_pos,5,0.9099999999999999,0.61,0.42882206286394886
sentimen_tri_pos,5,0.9099999999999999,0.9099999999999999,0.41252378362731346
sentimen_tri_pos,5,0.9099999999999999,symmetric,0.4236083337548687
sentimen_tri_pos,5,symmetric,0.01,0.43268417319527214
sentimen_tri_pos,5,symmetric,0.31,0.43701992107175824
sentimen_tri_pos,5,symmetric,0.61,0.4224522282520982
sentimen_tri_pos,5,symmetric,0.9099999999999999,0.4345280321538577
sentimen_tri_pos,5,symmetric,symmetric,0.4350895609979547
sentimen_tri_pos,5,asymmetric,0.01,0.43127853395731297
sentimen_tri_pos,5,asymmetric,0.31,0.4324482367005401
sentimen_tri_pos,5,asymmetric,0.61,0.4364823222085742
sentimen_tri_pos,5,asymmetric,0.9099999999999999,0.44825099254027306
sentimen_tri_pos,5,asymmetric,symmetric,0.44421690703223904
sentimen_tri_pos,6,0.01,0.01,0.3514404907555506
sentimen_tri_pos,6,0.01,0.31,0.3857445483394817
sentimen_tri_pos,6,0.01,0.61,0.4127971395678249
sentimen_tri_pos,6,0.01,0.9099999999999999,0.4076089774410721
sentimen_tri_pos,6,0.01,symmetric,0.3869596492332288
sentimen_tri_pos,6,0.31,0.01,0.394769391637459
sentimen_tri_pos,6,0.31,0.31,0.391176879989862
sentimen_tri_pos,6,0.31,0.61,0.38799962545158234
sentimen_tri_pos,6,0.31,0.9099999999999999,0.38244474345678897
sentimen_tri_pos,6,0.31,symmetric,0.394769391637459
sentimen_tri_pos,6,0.61,0.01,0.43002229798027886
